message_sent,processing_start_time,processing_end_time,message_arrived,network_delay,processing_delay,overall_delay
1558300633.33,1558300633.66,1558300633.89,1558300633.98,0.41922211647,0.226534843445,0.645756959915
1558300633.38,1558300634.05,1558300634.27,1558300634.32,0.730355978012,0.214629173279,0.944985151291
1558300633.39,1558300634.38,1558300634.61,1558300634.66,1.03909778595,0.225850105286,1.26494789124
1558300633.4,1558300634.71,1558300634.95,1558300635.0,1.35878276825,0.234518051147,1.5933008194
1558300633.42,1558300635.09,1558300635.33,1558300635.38,1.72820901871,0.237179994583,1.96538901329
1558300633.43,1558300635.44,1558300635.67,1558300635.72,2.069190979,0.225670099258,2.29486107826
1558300633.45,1558300635.75,1558300635.97,1558300636.02,2.35105991364,0.218055009842,2.56911492348
1558300633.46,1558300636.11,1558300636.33,1558300636.38,2.69892263412,0.219668149948,2.91859078407
1558300633.48,1558300636.43,1558300636.67,1558300636.72,3.00750684738,0.233628034592,3.24113488197
1558300633.36,1558300636.18,1558300636.67,1558300636.82,2.96612620354,0.493274927139,3.45940113068
1558300633.37,1558300636.36,1558300636.87,1558300637.0,3.11765098572,0.515960931778,3.6336119175
1558300633.5,1558300636.81,1558300637.03,1558300637.06,3.34210801125,0.216650009155,3.5587580204
1558300633.34,1558300636.42,1558300636.94,1558300637.09,3.23486208916,0.515058994293,3.74992108345
1558300633.39,1558300636.61,1558300637.09,1558300637.25,3.38366293907,0.478204965591,3.86186790466
1558300633.51,1558300637.01,1558300637.23,1558300637.28,3.54951286316,0.221991062164,3.77150392532
1558300633.52,1558300637.12,1558300637.34,1558300637.41,3.67103600502,0.220808029175,3.89184403419
1558300633.54,1558300637.3,1558300637.5,1558300637.53,3.79751110077,0.199704885483,3.99721598625
1558300633.4,1558300636.9,1558300637.41,1558300637.55,3.63393187523,0.515074968338,4.14900684357
1558300633.55,1558300637.46,1558300637.68,1558300637.73,3.95263814926,0.221207857132,4.17384600639
1558300633.41,1558300637.28,1558300637.8,1558300637.92,3.99049496651,0.516803979874,4.50729894638
1558300633.57,1558300637.65,1558300637.89,1558300637.93,4.12141895294,0.239087104797,4.36050605774
1558300633.57,1558300637.79,1558300638.0,1558300638.05,4.26838111877,0.20538187027,4.47376298904
1558300633.58,1558300637.97,1558300638.19,1558300638.25,4.45091295242,0.220283031464,4.67119598389
1558300633.42,1558300637.62,1558300638.11,1558300638.26,4.34285593033,0.495203018188,4.83805894852
1558300633.59,1558300638.17,1558300638.4,1558300638.45,4.63736200333,0.224776983261,4.86213898659
1558300633.59,1558300638.33,1558300638.54,1558300638.59,4.78835892677,0.207101106644,4.99546003342
1558300633.43,1558300637.98,1558300638.49,1558300638.67,4.71673607826,0.515188932419,5.23192501068
1558300633.6,1558300638.48,1558300638.72,1558300638.81,4.97084403038,0.239979028702,5.21082305908
1558300633.61,1558300638.64,1558300638.87,1558300638.94,5.10762166977,0.22699713707,5.33461880684
1558300633.46,1558300638.29,1558300638.8,1558300638.96,4.99208712578,0.513651847839,5.50573897362
1558300633.62,1558300638.81,1558300639.02,1558300639.09,5.26236581802,0.208398103714,5.47076392174
1558300633.47,1558300638.51,1558300639.01,1558300639.15,5.17964315414,0.495756864548,5.67540001869
1558300633.62,1558300639.02,1558300639.24,1558300639.29,5.43836712837,0.223881959915,5.66224908829
1558300633.63,1558300639.18,1558300639.39,1558300639.42,5.58675527573,0.20672082901,5.79347610474
1558300633.64,1558300639.34,1558300639.56,1558300639.61,5.75155997276,0.22220993042,5.97376990318
1558300633.48,1558300639.12,1558300639.62,1558300639.78,5.79632806778,0.497025966644,6.29335403442
1558300633.66,1558300639.53,1558300639.74,1558300639.79,5.91681694984,0.215917110443,6.13273406029
1558300633.66,1558300639.69,1558300639.92,1558300639.97,6.06821703911,0.23396396637,6.30218100548
1558300633.67,1558300639.85,1558300640.06,1558300640.09,6.20068192482,0.212014913559,6.41269683838
1558300633.69,1558300640.23,1558300640.44,1558300640.47,6.56761288643,0.213539123535,6.78115200996
1558300633.7,1558300640.45,1558300640.68,1558300640.72,6.78840613365,0.237957954407,7.02636408806
1558300633.71,1558300640.59,1558300640.8,1558300640.84,6.92047286034,0.21574306488,7.13621592522
1558300633.71,1558300640.71,1558300640.94,1558300640.99,7.04672408104,0.22801399231,7.27473807335
1558300633.72,1558300640.89,1558300641.1,1558300641.13,7.18925905228,0.217499017715,7.40675806999
1558300633.72,1558300641.04,1558300641.28,1558300641.33,7.36907982826,0.240761995316,7.60984182358
1558300633.73,1558300641.21,1558300641.42,1558300641.45,7.50604701042,0.21072101593,7.71676802635
1558300633.74,1558300641.38,1558300641.62,1558300641.67,7.68902611732,0.240032911301,7.92905902863
1558300633.74,1558300641.59,1558300641.79,1558300641.81,7.87440609932,0.19758605957,8.07199215889
1558300633.75,1558300641.73,1558300641.96,1558300642.0,8.0200548172,0.235198020935,8.25525283813
1558300633.76,1558300641.92,1558300642.13,1558300642.15,8.18620800972,0.209599971771,8.39580798149
1558300633.76,1558300642.06,1558300642.31,1558300642.35,8.34758496284,0.241852045059,8.5894370079
1558300633.77,1558300642.33,1558300642.54,1558300642.57,8.59066486359,0.209743976593,8.80040884018
1558300633.79,1558300642.41,1558300642.64,1558300642.69,8.66224002838,0.232656955719,8.8948969841
1558300633.8,1558300642.62,1558300642.82,1558300642.85,8.83778595924,0.207895040512,9.04568099976
1558300633.81,1558300642.76,1558300642.99,1558300643.03,8.99019789696,0.228052139282,9.21825003624
1558300633.82,1558300642.94,1558300643.14,1558300643.17,9.15323114395,0.20193195343,9.35516309738
1558300633.83,1558300643.1,1558300643.31,1558300643.35,9.31657099724,0.207868099213,9.52443909645
1558300633.84,1558300643.28,1558300643.49,1558300643.51,9.46386003494,0.208219051361,9.6720790863
1558300633.84,1558300643.44,1558300643.67,1558300643.71,9.64357805252,0.222317934036,9.86589598656
1558300633.85,1558300643.61,1558300643.83,1558300643.85,9.78210806847,0.216066837311,9.99817490578
1558300633.86,1558300643.78,1558300644.0,1558300644.06,9.97279500961,0.227444887161,10.2002398968
1558300633.87,1558300644.02,1558300644.25,1558300644.27,10.1740002632,0.22401881218,10.3980190754
1558300633.88,1558300644.13,1558300644.36,1558300644.41,10.2932920456,0.237910032272,10.5312020779
1558300633.88,1558300644.33,1558300644.55,1558300644.57,10.4729971886,0.212092876434,10.685090065
1558300633.89,1558300644.46,1558300644.7,1558300644.74,10.6109139919,0.243810892105,10.854724884
1558300633.9,1558300644.64,1558300644.85,1558300644.89,10.7840650082,0.2068400383,10.9909050465
1558300633.91,1558300644.81,1558300645.04,1558300645.09,10.9397568703,0.236797094345,11.1765539646
1558300633.92,1558300645.0,1558300645.2,1558300645.24,11.1172120571,0.206223011017,11.3234350681
1558300633.93,1558300645.17,1558300645.39,1558300645.43,11.291580677,0.214525222778,11.5061058998
1558300633.93,1558300645.39,1558300645.59,1558300645.63,11.5028438568,0.196907997131,11.6997518539
1558300633.94,1558300645.49,1558300645.72,1558300645.77,11.5871400833,0.234745025635,11.8218851089
1558300633.95,1558300645.65,1558300645.85,1558300645.89,11.7411067486,0.194227218628,11.9353339672
1558300633.96,1558300645.81,1558300646.04,1558300646.09,11.898277998,0.23628616333,12.1345641613
1558300633.96,1558300646.0,1558300646.21,1558300646.23,12.0623471737,0.204551935196,12.2668991089
1558300633.97,1558300646.15,1558300646.37,1558300646.43,12.2385730743,0.219976902008,12.4585499763
1558300633.98,1558300646.41,1558300646.61,1558300646.74,12.5584261417,0.20118689537,12.7596130371
1558300633.99,1558300646.56,1558300646.78,1558300646.82,12.6110911369,0.224026918411,12.8351180553
1558300633.99,1558300646.76,1558300646.98,1558300647.01,12.7860510349,0.227484941483,13.0135359764
1558300634.01,1558300646.86,1558300647.08,1558300647.13,12.8904981613,0.226714849472,13.1172130108
1558300634.02,1558300647.02,1558300647.24,1558300647.27,13.0271990299,0.222013950348,13.2492129803
