processing_end_time,processing_start_time,message_arrived,message_sent
1557687022.675237,1557687022.292728,1557687022.704613,1557687022.219145
1557687023.644069,1557687023.299984,1557687023.674398,1557687023.238204
1557687024.699191,1557687024.305295,1557687024.730084,1557687024.256185
1557687025.670275,1557687025.318009,1557687025.699355,1557687025.272318
1557687026.69895,1557687026.352455,1557687026.727507,1557687026.2896
1557687027.781032,1557687027.376022,1557687027.809622,1557687027.310573
1557687028.742934,1557687028.371737,1557687028.770719,1557687028.329816
1557687029.766234,1557687029.388485,1557687029.796949,1557687029.345018
1557687030.799827,1557687030.408412,1557687030.827187,1557687030.362374
1557687031.792337,1557687031.443073,1557687031.819566,1557687031.380637
1557687032.791064,1557687032.446217,1557687032.890831,1557687032.397165
1557687033.854839,1557687033.457437,1557687033.882691,1557687033.413845
1557687034.830406,1557687034.483078,1557687034.860909,1557687034.433663
1557687035.897277,1557687035.50536,1557687035.929967,1557687035.453128
1557687036.907307,1557687036.514883,1557687036.936144,1557687036.469761
1557687037.881931,1557687037.532521,1557687037.909643,1557687037.487258
1557687038.941125,1557687038.546638,1557687038.969878,1557687038.503129
1557687039.93907,1557687039.57051,1557687039.969717,1557687039.518969
1557687040.927226,1557687040.58491,1557687040.957587,1557687040.535869
1557687041.998122,1557687041.596915,1557687042.029076,1557687041.552441
1557687042.958754,1557687042.612103,1557687042.98811,1557687042.567223
1557687043.992645,1557687043.644647,1557687044.051296,1557687043.584231
1557687045.053054,1557687044.65769,1557687045.181873,1557687044.601443
1557687046.022153,1557687045.667701,1557687046.049476,1557687045.618523
1557687047.033962,1557687046.690993,1557687047.062949,1557687046.636144
1557687048.109097,1557687047.707435,1557687048.201318,1557687047.653899
1557687049.230019,1557687048.883977,1557687049.257731,1557687048.671486
1557687050.371828,1557687049.974327,1557687050.480882,1557687049.688119
1557687051.353405,1557687051.006183,1557687051.384964,1557687050.705118
1557687052.117981,1557687051.772396,1557687052.14854,1557687051.721464
1557687053.176238,1557687052.783378,1557687053.20591,1557687052.737064
1557687054.145666,1557687053.798964,1557687054.175315,1557687053.754168
1557687055.170534,1557687054.823451,1557687055.199241,1557687054.771763
1557687056.229646,1557687055.834848,1557687056.256555,1557687055.787357
1557687057.207164,1557687056.862193,1557687057.235232,1557687056.804452
1557687058.218169,1557687057.870681,1557687058.247043,1557687057.819811
1557687059.275294,1557687058.881828,1557687059.304353,1557687058.836368
1557687060.242557,1557687059.897613,1557687060.269998,1557687059.853175
1557687061.313894,1557687060.912591,1557687061.462111,1557687060.866899
1557687062.29089,1557687061.937939,1557687062.326868,1557687061.883415
1557687063.306787,1557687062.95863,1557687063.339785,1557687062.902203
1557687064.361343,1557687063.964953,1557687064.389885,1557687063.920077
1557687065.353344,1557687064.980788,1557687065.383415,1557687064.934746
1557687066.337628,1557687065.994023,1557687066.369492,1557687065.951105
1557687067.407231,1557687067.015072,1557687067.435197,1557687066.970062
1557687068.379772,1557687068.034612,1557687068.408849,1557687067.98809
1557687069.446723,1557687069.053402,1557687069.476724,1557687069.006279
1557687070.457353,1557687070.066641,1557687070.485495,1557687070.023272
1557687071.439626,1557687071.093709,1557687071.470167,1557687071.041274
1557687072.506214,1557687072.107425,1557687072.601788,1557687072.059269
1557687073.694599,1557687073.295482,1557687073.725119,1557687073.076301
1557687074.502754,1557687074.159338,1557687074.530722,1557687074.095025
1557687075.509422,1557687075.166353,1557687075.538441,1557687075.113212
1557687076.570288,1557687076.174932,1557687076.599433,1557687076.128132
1557687077.542922,1557687077.190798,1557687077.573026,1557687077.14559
1557687078.606441,1557687078.21126,1557687078.636425,1557687078.16399
1557687079.631415,1557687079.233905,1557687079.661017,1557687079.181895
1557687080.587042,1557687080.242408,1557687080.616121,1557687080.200802
1557687081.671391,1557687081.273657,1557687081.700338,1557687081.216883
1557687082.671294,1557687082.279108,1557687082.700931,1557687082.232381
1557687083.640926,1557687083.287413,1557687083.78115,1557687083.249026
1557687084.751173,1557687084.313024,1557687084.807931,1557687084.265483
1557687085.720238,1557687085.328675,1557687085.750689,1557687085.281956
1557687086.693822,1557687086.344881,1557687086.722697,1557687086.299694
1557687087.767013,1557687087.369896,1557687087.799872,1557687087.319177
1557687088.778815,1557687088.384915,1557687088.808594,1557687088.338037
1557687089.750542,1557687089.40109,1557687089.779171,1557687089.35707
1557687090.768926,1557687090.421422,1557687090.799317,1557687090.375825
1557687091.838906,1557687091.440072,1557687091.868947,1557687091.393353
1557687092.807783,1557687092.463165,1557687092.835687,1557687092.412148
1557687093.830964,1557687093.480351,1557687093.860865,1557687093.429368
1557687094.896433,1557687094.497618,1557687094.925306,1557687094.445307
1557687095.859742,1557687095.516839,1557687095.890142,1557687095.462449
1557687096.917898,1557687096.52319,1557687096.948832,1557687096.479591
1557687097.961739,1557687097.567215,1557687097.989914,1557687097.497804
1557687098.905959,1557687098.560087,1557687098.933438,1557687098.517302
1557687099.963406,1557687099.574641,1557687099.995439,1557687099.534253
1557687100.991721,1557687100.596905,1557687101.02205,1557687100.551588
1557687101.97246,1557687101.618185,1557687102.005965,1557687101.569359
1557687102.973473,1557687102.629311,1557687103.00205,1557687102.585347
1557687104.04862,1557687103.652665,1557687104.07808,1557687103.601981
1557687105.011856,1557687104.666214,1557687105.083296,1557687104.622216
1557687106.099357,1557687105.682156,1557687106.127508,1557687105.640159
1557687107.049968,1557687106.705271,1557687107.079554,1557687106.657325
1557687108.071147,1557687107.723361,1557687108.100698,1557687107.674807
1557687109.196435,1557687108.781927,1557687109.222187,1557687108.69254
1557687110.282596,1557687109.933323,1557687110.428116,1557687109.708694
1557687111.355467,1557687110.957712,1557687111.481662,1557687110.725962
1557687112.40681,1557687112.005393,1557687112.436393,1557687111.743373
1557687113.156816,1557687112.807986,1557687113.186164,1557687112.761654
1557687114.180584,1557687113.831643,1557687114.209079,1557687113.782557
1557687115.266476,1557687114.847234,1557687115.295316,1557687114.800628
1557687116.21234,1557687115.867306,1557687116.242853,1557687115.81584
