line_number,response_time
1,4793
2,4481
3,3934
4,4538
5,4609
6,4705
7,3742
8,4397
9,4196
10,4053
11,4575
12,4423
13,3850
14,3890
15,4592
16,5537
17,4447
18,4558
19,4204
20,5096
21,4849
22,4041
23,3940
24,4714
25,4166
26,4826
27,3960
28,4939
29,4540
30,4495
31,5810
32,5253
33,3976
34,4834
35,4686
36,4811
37,4058
38,4000
39,3964
40,4504
41,4075
42,5422
43,3832
44,4059
45,4280
46,3714
47,4467
48,3995
49,4432
50,5124
51,3884
52,3719
53,4209
54,5188
55,3991
56,4399
57,4993
58,3908
59,4047
60,5019
61,4583
62,4320
63,4849
64,4843
65,5243
66,3973
67,4466
68,3721
69,5360
70,3864
71,3909
72,5065
73,4452
74,4150
75,3916
76,4061
77,3902
78,3740
79,3812
80,4994
81,3789
82,3733
83,3718
84,3677
85,3815
86,3691
87,4617
88,3878
89,3661
90,3447
91,3635
92,3634
93,3870
94,3990
95,3670
96,4182
97,4079
98,3889
99,3623
100,5110
