"processing_end_time","processing_start_time","message_arrived","diff","message_sent"
"1557687022.675237","1557687022.292728","1557687022.704613","0.48546791076660156","1557687022.219145"
"1557687023.644069","1557687023.299984","1557687023.674398","0.43619394302368164","1557687023.238204"
"1557687024.699191","1557687024.305295","1557687024.730084","0.47389888763427734","1557687024.256185"
"1557687025.670275","1557687025.318009","1557687025.699355","0.42703700065612793","1557687025.272318"
"1557687026.69895","1557687026.352455","1557687026.727507","0.43790721893310547","1557687026.2896"
"1557687027.781032","1557687027.376022","1557687027.809622","0.49904894828796387","1557687027.310573"
"1557687028.742934","1557687028.371737","1557687028.770719","0.4409029483795166","1557687028.329816"
"1557687029.766234","1557687029.388485","1557687029.796949","0.4519309997558594","1557687029.345018"
"1557687030.799827","1557687030.408412","1557687030.827187","0.4648129940032959","1557687030.362374"
"1557687031.792337","1557687031.443073","1557687031.819566","0.43892908096313477","1557687031.380637"
"1557687032.791064","1557687032.446217","1557687032.890831","0.4936659336090088","1557687032.397165"
"1557687033.854839","1557687033.457437","1557687033.882691","0.46884584426879883","1557687033.413845"
"1557687034.830406","1557687034.483078","1557687034.860909","0.42724609375","1557687034.433663"
"1557687035.897277","1557687035.50536","1557687035.929967","0.4768388271331787","1557687035.453128"
"1557687036.907307","1557687036.514883","1557687036.936144","0.4663832187652588","1557687036.469761"
"1557687037.881931","1557687037.532521","1557687037.909643","0.42238497734069824","1557687037.487258"
"1557687038.941125","1557687038.546638","1557687038.969878","0.4667489528656006","1557687038.503129"
"1557687039.93907","1557687039.57051","1557687039.969717","0.4507479667663574","1557687039.518969"
"1557687040.927226","1557687040.58491","1557687040.957587","0.42171812057495117","1557687040.535869"
"1557687041.998122","1557687041.596915","1557687042.029076","0.476635217666626","1557687041.552441"
"1557687042.958754","1557687042.612103","1557687042.98811","0.4208869934082031","1557687042.567223"
"1557687043.992645","1557687043.644647","1557687044.051296","0.46706509590148926","1557687043.584231"
"1557687045.053054","1557687044.65769","1557687045.181873","0.5804300308227539","1557687044.601443"
"1557687046.022153","1557687045.667701","1557687046.049476","0.4309530258178711","1557687045.618523"
"1557687047.033962","1557687046.690993","1557687047.062949","0.4268050193786621","1557687046.636144"
"1557687048.109097","1557687047.707435","1557687048.201318","0.5474190711975098","1557687047.653899"
"1557687049.230019","1557687048.883977","1557687049.257731","0.586245059967041","1557687048.671486"
